Alpine Newt.png,Alpine_Newt_(Ichthy.png,https://github.com/boobalootoo/CARDDECKDONOTEDIT/blob/main/Alpine%20Newt.png,https://github.com/boobalootoo/8BITGALLERY2/blob/main/Alpine_Newt_(Ichthy.png
American mink.png,American mink.png,https://github.com/boobalootoo/CARDDECKDONOTEDIT/blob/main/American%20mink.png,https://github.com/boobalootoo/8BITGALLERY2/blob/main/American%20mink.png
Balearic Shearwater.png,Balearic_shea.png,https://github.com/boobalootoo/CARDDECKDONOTEDIT/blob/main/Balearic%20Shearwater.png,https://github.com/boobalootoo/8BITGALLERY2/blob/main/Balearic_shea.png
Banded Demoiselle.png,Banded_Demoiselle_(C.png,https://github.com/boobalootoo/CARDDECKDONOTEDIT/blob/main/Banded%20Demoiselle.png,https://github.com/boobalootoo/8BITGALLERY2/blob/main/Banded_Demoiselle_(C.png
bank vole.png,bank vole.png,https://github.com/boobalootoo/CARDDECKDONOTEDIT/blob/main/bank%20vole.png,https://github.com/boobalootoo/8BITGALLERY2/blob/main/bank%20vole.png
barbastelle bat.png,barbastelle bat.png,https://github.com/boobalootoo/CARDDECKDONOTEDIT/blob/main/barbastelle%20bat.png,https://github.com/boobalootoo/8BITGALLERY2/blob/main/barbastelle%20bat.png
Barn Owl.png,barn_owl_(Tyt.png,https://github.com/boobalootoo/CARDDECKDONOTEDIT/blob/main/Barn%20Owl.png,https://github.com/boobalootoo/8BITGALLERY2/blob/main/barn_owl_(Tyt.png
bat.png,bat.png,https://github.com/boobalootoo/CARDDECKDONOTEDIT/blob/main/bat.png,https://github.com/boobalootoo/8BITGALLERY2/blob/main/bat.png
Bearded Tit.png,bearded_tit_(.png,https://github.com/boobalootoo/CARDDECKDONOTEDIT/blob/main/Bearded%20Tit.png,https://github.com/boobalootoo/8BITGALLERY2/blob/main/bearded_tit_(.png
Beautiful Demoiselle.png,Beautiful_Demoiselle.png,https://github.com/boobalootoo/CARDDECKDONOTEDIT/blob/main/Beautiful%20Demoiselle.png,https://github.com/boobalootoo/8BITGALLERY2/blob/main/Beautiful_Demoiselle.png
Betony.png,Betonica officinalis.png,https://github.com/boobalootoo/CARDDECKDONOTEDIT/blob/main/Betony.png,https://github.com/boobalootoo/8BITGALLERY2/blob/main/Betonica%20officinalis.png
Bird’s-foot Trefoil.png,Lotus corniculatus.png,https://github.com/boobalootoo/CARDDECKDONOTEDIT/blob/main/Bird%E2%80%99s-foot%20Trefoil.png,https://github.com/boobalootoo/8BITGALLERY2/blob/main/Lotus%20corniculatus.png
"bison, genus.png","bison, genus.png",https://github.com/boobalootoo/CARDDECKDONOTEDIT/blob/main/bison%2C%20genus.png,https://github.com/boobalootoo/8BITGALLERY2/blob/main/bison%2C%20genus.png
Black Guillemot.png,black_guillem.png,https://github.com/boobalootoo/CARDDECKDONOTEDIT/blob/main/Black%20Guillemot.png,https://github.com/boobalootoo/8BITGALLERY2/blob/main/black_guillem.png
black rat.png,black rat.png,https://github.com/boobalootoo/CARDDECKDONOTEDIT/blob/main/black%20rat.png,https://github.com/boobalootoo/8BITGALLERY2/blob/main/black%20rat.png
Black Redstart.png,black_redstar.png,https://github.com/boobalootoo/CARDDECKDONOTEDIT/blob/main/Black%20Redstart.png,https://github.com/boobalootoo/8BITGALLERY2/blob/main/black_redstar.png
Black-headed Gull.png,black-headed_.png,https://github.com/boobalootoo/CARDDECKDONOTEDIT/blob/main/Black-headed%20Gull.png,https://github.com/boobalootoo/8BITGALLERY2/blob/main/black-headed_.png
Black-throated Thrush.png,black-throate.png,https://github.com/boobalootoo/CARDDECKDONOTEDIT/blob/main/Black-throated%20Thrush.png,https://github.com/boobalootoo/8BITGALLERY2/blob/main/black-throate.png
